Số lần ghé quầy,Số lần
Trái cây,2
Đồ uống,0
Bánh kẹo,0

Thứ tự ghé thăm các quầy
Fruits -> Fruits

Vật phẩm,Thời gian(s)
Táo xanh,5
Tên sản phẩm,Số lượng thực,Số lượng chuẩn,Trạng thái
