Số lần ghé quầy,Số lần
Trái cây,5
Đồ uống,0
Bánh kẹo,0

Thứ tự ghé thăm các quầy
Fruits -> Fruits -> Fruits -> Fruits -> Fruits

Vật phẩm,Thời gian(s)
Táo xanh,9
Nho,14
Bắp cải,24
Tên sản phẩm,Số lượng thực,Số lượng chuẩn,Trạng thái
