Số lần ghé quầy,Số lần
Trái cây,4
Đồ uống,0
Bánh kẹo,0

Thứ tự ghé thăm các quầy
Fruits -> Fruits -> Fruits -> Fruits

Vật phẩm,Thời gian(s)
Táo xanh,12
Bắp cải,17
Cà rốt,21
Cà chua,25
Tên sản phẩm,Số lượng thực,Số lượng chuẩn,Trạng thái, Giá
Tổng
0
