Booth Type,Visit Count
Fruits,0
Drinks,0
Snacks,0

Visit Order of Booths


Product,Time (s)

Product Name,Total Count,Unit Price,Status,Subtotal
Mật ong,0,0,Thiếu 4,0
Nước suối,0,0,Thiếu 8,0
Kẹo socola,0,0,Thiếu 9,0
Giấy vệ sinh,0,0,Thiếu 3,0
Táo xanh,0,0,Thiếu 1,0

Total Items,0
Total Price,0
Show list ,-1 time
