Số lần ghé quầy,Số lần
Trái cây,3
Đồ uống,0
Bánh kẹo,0

Thứ tự ghé thăm các quầy
Fruits -> Fruits -> Fruits

Vật phẩm,Thời gian(s)
Táo xanh,10
Tên sản phẩm,Số lượng thực,Số lượng chuẩn,Trạng thái
Táo xanh,1,0,1 (Dư 1)
Táo xanh,2,0,2 (Dư 2)
Cà chua,1,0,1 (Dư 1)
