Booth Type,Visit Count
Fruits,0
Drinks,0
Snacks,0

Visit Order of Booths


Product,Time (s)

Product Name,Total Count,Unit Price,Status,Subtotal
Bắp cải,0,0,Thiếu 5,0
Cà rốt,0,0,Thiếu 4,0
Chuối vàng,0,0,Thiếu 2,0
Kem,0,0,Thiếu 7,0
Hộp sữa,0,0,Thiếu 6,0

Total Items,0
Total Price,0
Show list ,-1 time
