Booth Type,Visit Count
Fruits,0
Drinks,0
Snacks,0

Visit Order of Booths


Product,Time (s)

Product Name,Total Count,Unit Price,Status,Subtotal
Chai rượu,0,0,Thiếu 3,0
Đũa,0,0,Thiếu 9,0
Nĩa,0,0,Thiếu 8,0
Xẻng,0,0,Thiếu 3,0
Giấy vệ sinh,0,0,Thiếu 2,0
Cá,0,0,Thiếu 3,0
Nước tương,0,0,Thiếu 7,0
Cà rốt,0,0,Thiếu 3,0

Total Items,0
Total Price,0
Show list ,1 time
