Booth Type,Visit Count
Fruits,0
Drinks,0
Snacks,0

Visit Order of Booths


Product,Time (s)
Đồ ăn đóng hộp,7.337621

Product Name,Total Count,Unit Price,Status,Subtotal
Dao trung bình,0,0,Thiếu 7,0
Chảo,0,0,Thiếu 2,0
Kệ để dao,0,0,Thiếu 1,0
Chuối vàng,0,0,Thiếu 3,0
Chúc chích,0,0,Thiếu 1,0
Hủ muối,0,0,Thiếu 3,0
Ly,0,0,Thiếu 1,0
Nắp nồi,0,0,Thiếu 3,0
Đồ ăn đóng hộp,4,25000,Dư 4,100000

Total Items,4
Total Price,100000
Show list ,0 time
