Booth Type,Visit Count
Fruits,0
Drinks,0
Snacks,0

Visit Order of Booths


Product,Time (s)

Product Name,Total Count,Unit Price,Status,Subtotal
Bắp cải,1,0,Thiếu 6,0
Táo xanh,1,0,Thiếu 4,0
Đồ ăn đóng hộp,1,0,Thiếu 7,0
Mật ong,1,0,Thiếu 4,0
Cà rốt,1,0,Thiếu 8,0

Total Items,5
Total Price,0
