Booth Type,Visit Count
Fruits,0
Drinks,0
Snacks,0

Visit Order of Booths


Product,Time (s)
Bắp cải,11.58803
Nho,13.56555

Product Name,Total Count,Unit Price,Status,Subtotal
Nho,6,10250,Dư 4,61500
Bắp cải,3,18000,Dư 2,54000
Táo xanh,0,0,Thiếu 6,0
Hủ tiêu,0,0,Thiếu 5,0
Chuối vàng,0,0,Thiếu 4,0
Muỗng,0,0,Thiếu 8,0
Hộp sữa,0,0,Thiếu 2,0
Nĩa,0,0,Thiếu 9,0

Total Items,9
Total Price,115500
Show list ,0 time
