Booth Type,Visit Count
Fruits,0
Drinks,1
Snacks,0

Visit Order of Booths
Drinks

Product,Time (s)

Product Name,Total Count,Unit Price,Status,Subtotal
Nĩa,0,0,Thiếu 5,0
Đồ ăn đóng hộp,0,0,Thiếu 7,0
Cây khuấy,0,0,Thiếu 3,0
Thịt xay,0,0,Thiếu 2,0
Dao bự,0,0,Thiếu 7,0
Ly rượu,0,0,Thiếu 2,0
Cà chua,0,0,Thiếu 7,0
Cà rốt,0,0,Thiếu 4,0

Total Items,0
Total Price,0
Show list ,1 time
