Số lần ghé quầy,Số lần
Trái cây,1
Đồ uống,0
Bánh kẹo,0

Thứ tự ghé thăm các quầy
Fruits

Vật phẩm,Thời gian(s)
Tên sản phẩm,Thứ tự lấy,Số lượng chuẩn,Trạng thái, Giá
Tổng
0
