Booth Type,Visit Count
Fruits,0
Drinks,0
Snacks,0

Visit Order of Booths


Product,Time (s)
Nho,7.574847

Product Name,Total Count,Unit Price,Status,Subtotal
Nước trái cây,0,0,Thiếu 8,0
Chảo,0,0,Thiếu 2,0
Bắp cải,0,0,Thiếu 8,0
Chuối vàng,0,0,Thiếu 8,0
Cây khuấy,0,0,Thiếu 9,0
Kệ để dao,0,0,Thiếu 6,0
Chảo gang,0,0,Thiếu 7,0
Nước suối,0,0,Thiếu 7,0
Nho,5,25000,Dư 5,125000

Total Items,5
Total Price,125000
Show list ,0 time
